X	Y
0	0.000
1	0.000
2	0.000
3	0.000
4	0.000
5	0.000
6	2.333
7	2.333
8	2.333
9	2.333
10	2.333
11	2.333
12	2.333
13	2.333
14	2.333
15	2.333
16	2.333
17	2.333
18	2.333
19	2.333
20	2.333
21	2.333
22	2.333
23	2.333
24	2.333
25	2.333
26	2.333
27	2.333
28	2.333
29	2.333
30	2.333
31	2.333
32	2.333
33	2.333
34	2.333
35	2.333
36	2.333
37	2.333
38	2.333
39	2.333
40	2.333
41	2.333
42	2.333
43	2.333
44	2.333
45	2.333
46	2.333
47	2.333
48	2.333
49	2.333
50	2.333
51	2.333
52	2.333
53	2.333
54	2.333
55	2.333
56	2.333
57	2.333
58	2.333
59	2.333
60	2.333
61	2.333
62	2.333
63	2.333
64	2.333
65	2.333
66	2.333
67	2.333
68	2.333
69	2.333
70	2.333
71	2.333
72	2.333
73	2.333
74	2.333
75	2.333
76	2.333
77	1.667
78	1.667
79	1.667
80	1.667
81	1.667
82	1.667
83	1.667
84	1.667
85	1.667
86	1.667
87	1.667
88	1.667
89	1.667
90	1.667
91	1.667
92	1.667
93	1.667
94	1.667
95	2.333
96	2.333
97	2.667
98	2.667
99	2.667
100	2.667
101	2.667
102	2.667
103	3.000
104	3.000
105	3.333
106	3.333
107	3.333
108	3.333
109	3.333
110	3.333
111	3.333
112	3.333
113	3.333
114	3.333
115	3.333
116	3.333
117	3.333
118	3.333
119	3.333
120	3.333
121	3.333
122	3.333
123	3.333
124	3.333
125	3.333
126	3.333
127	3.333
128	3.333
129	3.333
130	3.333
131	3.333
132	3.333
133	3.333
134	3.333
135	4.667
136	4.667
137	4.667
138	4.667
139	4.667
140	4.667
141	4.667
142	4.667
143	4.000
144	4.000
145	4.000
146	4.000
147	4.000
148	4.000
149	4.000
150	4.000
151	4.667
152	4.667
153	4.000
154	4.000
155	4.000
156	4.000
157	4.000
158	4.000
159	4.000
160	4.000
161	4.000
162	4.376
163	4.667
164	4.667
165	5.000
166	5.000
167	5.000
168	4.407
169	4.405
170	4.404
171	5.270
172	5.268
173	4.000
174	4.000
175	5.000
176	5.272
177	6.274
178	6.667
179	7.000
180	7.583
181	6.914
182	6.911
183	7.000
184	7.000
185	7.000
186	7.000
187	7.000
188	7.000
189	7.041
190	7.040
191	7.000
192	7.000
193	6.667
194	6.667
195	6.667
196	6.667
197	7.000
198	7.000
199	7.000
200	7.000
201	7.155
202	7.511
203	6.667
204	6.667
205	7.000
206	7.000
207	8.147
208	7.988
209	9.485
210	9.162
211	9.482
212	10.667
213	10.996
214	11.830
215	10.334
216	10.999
217	11.837
218	11.004
219	11.000
220	10.000
221	10.658
222	10.657
223	11.000
224	11.000
225	11.333
226	11.333
227	12.000
228	12.000
229	12.000
230	12.000
231	13.024
232	13.025
233	13.333
234	13.876
235	13.333
236	13.333
237	13.333
238	13.149
239	15.221
240	15.223
241	15.000
242	15.439
243	15.436
244	16.245
245	16.333
246	16.904
247	16.667
248	16.667
249	16.667
250	16.667
251	17.000
252	17.000
253	17.333
254	17.333
255	19.000
256	19.000
257	19.007
258	19.402
259	19.132
260	20.333
261	20.333
262	20.928
263	21.277
264	20.667
265	21.691
266	21.411
267	22.286
268	22.667
269	22.749
270	23.000
271	22.333
272	22.333
273	23.000
274	22.576
275	23.696
276	23.333
277	24.309
278	24.667
279	24.686
280	24.667
281	25.247
282	25.243
283	25.239
284	25.333
285	25.107
286	25.772
287	25.554
288	25.779
289	26.447
290	26.667
291	27.000
292	27.323
293	27.320
294	27.318
295	27.316
296	27.313
297	27.541
298	28.309
299	30.027
300	30.333
301	30.434
302	30.667
303	31.631
304	32.333
305	31.333
306	31.333
307	32.667
308	33.333
309	34.333
310	34.333
311	34.224
312	34.702
313	35.393
314	35.667
315	35.397
316	36.000
317	36.578
318	36.350
319	36.100
320	37.591
321	39.411
322	39.413
323	38.667
324	38.667
325	38.667
326	39.333
327	39.172
328	38.667
329	40.667
330	41.667
331	41.256
332	40.667
333	41.333
334	43.000
335	44.110
336	44.632
337	44.521
338	45.189
339	46.382
340	46.526
341	46.861
342	46.862
343	47.530
344	47.869
345	48.666
346	49.000
347	49.463
348	49.462
349	51.000
350	52.624
351	51.543
352	50.878
353	50.092
354	51.000
355	52.549
356	53.333
357	53.495
358	51.887
359	54.333
360	54.055
361	55.333
362	55.333
363	55.333
364	55.333
365	56.102
366	56.818
367	58.000
368	58.569
369	59.333
370	59.905
371	59.667
372	59.667
373	60.333
374	60.333
375	61.333
376	61.333
377	62.000
378	63.000
379	62.667
380	63.667
381	64.550
382	64.667
383	64.112
384	63.516
385	64.547
386	65.438
387	65.538
388	66.433
389	67.333
390	67.333
391	66.907
392	67.909
393	67.911
394	67.000
395	67.000
396	69.000
397	69.079
398	68.077
399	69.075
400	70.072
401	72.000
402	72.000
403	72.000
404	73.000
405	74.000
406	75.058
407	73.056
408	72.107
409	73.051
410	74.049
411	76.000
412	78.000
413	77.958
414	78.960
415	78.000
416	78.965
417	80.000
418	80.031
419	79.972
420	79.026
421	79.024
422	79.021
423	80.019
424	83.017
425	85.000
426	83.000
427	82.000
428	83.000
429	83.333
430	84.331
431	86.333
432	86.329
433	86.329
434	86.333
435	87.333
436	88.333
437	90.320
438	90.317
439	89.352
440	90.333
441	91.311
442	90.333
443	92.306
444	92.333
445	91.397
446	92.368
447	95.260
448	94.294
449	93.333
450	93.333
451	92.333
452	93.285
453	94.333
454	94.386
455	94.278
456	95.276
457	96.333
458	97.333
459	98.269
460	98.400
461	97.541
462	98.476
463	98.481
464	99.333
465	101.176
466	101.253
467	103.333
468	103.419
469	104.421
470	105.243
471	108.241
472	108.239
473	108.333
474	109.234
475	110.232
476	111.229
477	112.929
478	114.036
479	113.037
480	113.924
481	114.807
482	115.686
483	116.679
484	116.673
485	116.792
486	116.915
487	116.259
488	117.132
489	118.134
490	119.000
491	119.861
492	119.859
493	120.857
494	121.000
495	121.852
496	121.850
497	121.130
498	121.127
499	121.281
500	122.280
501	123.333
502	124.333
503	122.333
504	122.507
505	123.514
506	124.521
507	126.000
508	126.822
509	126.819
510	125.000
511	127.185
512	128.938
513	131.190
514	132.000
515	132.194
516	133.197
517	133.199
518	134.201
519	134.796
520	134.206
521	134.417
522	134.211
523	135.000
524	135.000
525	135.782
526	136.560
527	136.815
528	137.034
529	138.031
530	138.771
531	139.768
532	139.766
533	140.528
534	140.523
535	139.482
536	139.243
537	139.000
538	139.752
539	141.250
540	141.748
541	142.745
542	143.229
543	142.000
544	143.000
545	144.000
546	146.000
547	147.731
548	148.000
549	148.727
550	148.517
551	149.000
552	149.000
553	149.000
554	149.000
555	149.287
556	150.000
557	150.472
558	151.176
559	151.766
560	151.766
561	152.667
562	153.363
563	154.361
564	155.359
565	155.356
566	156.125
567	158.000
568	158.683
569	158.680
570	159.356
571	159.009
572	159.333
573	160.662
574	160.442
575	160.889
576	161.555
577	164.108
578	165.227
579	166.543
580	167.770
581	168.203
582	168.984
583	166.981
584	167.000
585	167.357
586	167.145
587	168.426
588	169.424
589	169.333
590	169.965
591	169.704
592	170.333
593	170.584
594	171.585
595	172.033
596	172.794
597	173.667
598	173.667
599	174.944
600	174.811
601	175.414
602	175.805
603	177.200
604	177.000
605	177.527
606	177.522
607	178.592
608	177.590
609	178.196
610	178.195
611	178.889
612	179.893
613	180.052
614	180.203
615	180.098
616	180.095
617	180.667
618	181.233
619	181.231
620	181.229
621	182.040
622	181.891
623	182.888
624	183.184
625	184.150
626	185.151
627	185.151
628	185.609
629	185.612
630	185.615
631	186.154
632	186.155
633	185.156
634	184.627
635	183.982
636	183.508
637	183.856
638	183.854
639	182.815
640	183.818
641	183.991
642	184.993
643	186.333
644	186.333
645	185.837
646	186.333
647	185.833
648	185.830
649	186.333
650	186.333
651	186.660
652	186.634
653	186.971
654	187.450
655	187.148
656	187.145
657	186.984
658	187.509
659	187.333
660	187.333
661	188.978
662	188.976
663	188.796
664	189.333
665	189.333
666	189.333
667	188.786
668	189.333
669	190.448
670	191.000
671	191.000
672	191.559
673	191.561
674	191.000
675	191.000
676	191.432
677	191.430
678	192.000
679	191.425
680	192.000
681	192.667
682	193.248
683	193.805
684	194.391
685	195.000
686	195.000
687	196.187
688	196.000
689	196.000
690	195.400
691	195.598
692	195.597
693	196.202
694	196.203
695	195.239
696	196.233
697	195.845
698	195.460
699	195.838
700	195.835
701	196.084
702	196.085
703	196.667
704	196.667
705	196.032
706	196.029
707	196.027
708	196.025
709	196.667
710	196.667
711	196.667
