"Jahr", "Monat", "Tag", "Stunde", "Minute", "Sekunde", "Lux (lx)", "T (C)"," p (hPa)", "rH (%)", "CO2 (ppm)"
2025,4,17,13,0,44,546.25,24.69,99148,45.91,400
2025,4,17,13,0,45,580.00,24.53,99150,45.47,400
2025,4,17,13,0,47,576.67,24.45,99150,45.24,400
2025,4,17,13,0,49,569.58,24.42,99152,45.13,400
2025,4,17,13,0,51,590.42,24.43,99152,45.06,400
2025,4,17,13,0,52,604.17,24.45,99152,45.02,400
2025,4,17,13,0,54,604.17,24.47,99152,44.91,400
2025,4,17,13,0,56,602.08,24.51,99152,44.72,400
2025,4,17,13,0,58,601.67,24.54,99152,44.53,400
2025,4,17,13,0,59,602.50,24.57,99152,44.39,400
2025,4,17,13,1,1,605.83,24.61,99152,44.25,400
2025,4,17,13,1,3,601.25,24.65,99153,44.14,400
2025,4,17,13,1,5,601.25,24.69,99153,44.08,400
2025,4,17,13,1,6,600.83,24.71,99153,44.03,400
2025,4,17,13,1,8,600.83,24.72,99153,43.95,400
2025,4,17,13,1,10,601.67,24.72,99153,43.87,400
2025,4,17,13,1,12,602.92,24.72,99153,43.80,400
2025,4,17,13,1,13,599.17,24.71,99153,43.72,400
2025,4,17,13,1,15,597.92,24.70,99153,43.66,400
2025,4,17,13,1,17,598.33,24.70,99154,43.58,400
2025,4,17,13,1,19,598.75,24.69,99154,43.53,400
2025,4,17,13,1,20,597.50,24.68,99154,43.48,400
2025,4,17,13,1,22,597.92,24.66,99154,43.42,400
2025,4,17,13,1,24,598.75,24.64,99153,43.41,400
2025,4,17,13,1,26,598.75,24.62,99153,43.42,400
2025,4,17,13,1,27,599.17,24.61,99153,43.42,400
2025,4,17,13,1,29,599.17,24.59,99154,43.43,400
2025,4,17,13,1,31,598.75,24.59,99154,43.47,400
2025,4,17,13,1,33,598.75,24.60,99153,43.50,400
2025,4,17,13,1,35,598.75,24.59,99154,43.55,400
2025,4,17,13,1,36,599.17,24.60,99154,43.60,400
2025,4,17,13,1,38,599.58,24.60,99153,43.57,400
2025,4,17,13,1,40,598.33,24.59,99154,43.54,400
2025,4,17,13,1,42,598.75,24.55,99153,43.48,400
2025,4,17,13,1,43,599.58,24.52,99153,43.45,400
2025,4,17,13,1,45,599.58,24.49,99154,43.45,400
2025,4,17,13,1,47,597.50,24.49,99153,43.48,400
2025,4,17,13,1,49,597.92,24.48,99153,43.49,400
2025,4,17,13,1,50,597.50,24.48,99154,43.50,400
2025,4,17,13,1,52,597.08,24.47,99154,43.49,400
2025,4,17,13,1,54,598.33,24.45,99154,43.47,400
2025,4,17,13,1,56,597.50,24.44,99153,43.47,400
2025,4,17,13,1,57,597.92,24.43,99153,43.50,400
2025,4,17,13,1,59,597.50,24.41,99154,43.49,400
2025,4,17,13,2,1,596.67,24.40,99153,43.47,400
2025,4,17,13,2,3,596.67,24.38,99153,43.48,400
2025,4,17,13,2,4,596.25,24.37,99154,43.47,400
2025,4,17,13,2,6,596.67,24.36,99154,43.50,400
2025,4,17,13,2,8,597.08,24.37,99153,43.57,400
2025,4,17,13,2,10,597.08,24.38,99153,43.65,400
2025,4,17,13,2,11,597.08,24.41,99154,43.74,403
2025,4,17,13,2,13,597.92,24.44,99154,43.79,400
2025,4,17,13,2,15,597.92,24.48,99153,43.85,400
