f [Hz],	U_A[V],	U_B[V]
100,	0.02658,	1.590
200,	0.02658,	1.590
400,	0.02658,	1.590
600,	0.03546,	1.590
800,	0.04446,	1.590
1000,	0.04434,	1.590
2000,	0.07987,	1.573
4000,	0.1332,	1.520
6000,	0.1774,	1.451
8000,	0.228,	1.372
10000,	0.2486,	1.276
15000,	0.3107,	1.092
20000,	0.3374,	0.935
25000,	0.3551,	0.8214
30000,	0.3729,	0.7428
35000,	0.3818,	0.6816
40000,	0.3818,	0.6292
45000,	0.3818,	0.5940
50000,	0.3908,	0.5680
55000,	0.3906,	0.5418
60000,	0.3906,	0.5243
65000,	0.3906,	0.5068
70000,	0.3906,	0.4986
75000,	0.3906,	0.4806
80000,	0.3906,	0.4719
85000,	0.3818,	0.4631
90000,	0.3818,	0.4546
95000,	0.3729,	0.4456
100000,	0.3729,	0.4282
