"by",	"pos"
335,	980
366,	975
398, 970
441,	965
481,	960
534,	955
592,	950
658,	945
731,	940
807,	935
901,	930
1003,	925
1118,	920
1246,	915
1383,	910
1535,	905
1712,	900
1872,	895
2065,	890
2215,	885
2343,	880
2475,	875
2591,	870
2705,	865
2808,	860
2864,	855
2876,	850
2816,	845
2733,	840
2610,	835
2475,	830
2430,	825
2269,	820
2104,	815
2021,	810
1958,	805
1841,	800
1790,	795
1767,	790
1763,	785
1781,	780
1822,	775
1887,	770
1968,	765
2064,	760
2173,	755
2294,	750
2412,	745
2541,	740
2644,	735
2706,	730
2788,	725
2793,	720
2783,	715
2725,	710
2612,	705
1480,	700
2346,	695
2181,	690
2041,	685
1874,	680
1704,	675
1550,	670
1398,	665
1251,	660
1131,	655
984,	650
884,	645
789,	640
697,	635
645,	630
577,	625
521,	620
459,	615
428,	610
378,	605
348,	600
