"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.445241100E-2,4.383651257E0,1.579262912E-1,-8.690732002E0
1.656319200E-2,4.383651257E0,1.339980662E-1,-8.685946465E0
1.867397300E-2,4.369294167E0,1.292124242E-1,-8.676374435E0
2.078475500E-2,4.359723091E0,1.052841991E-1,-8.671588898E0
2.289553600E-2,4.350151539E0,1.148554832E-1,-8.685946465E0
2.500631700E-2,4.345366001E0,8.135596663E-2,-8.690732002E0
2.711709800E-2,4.340580463E0,8.614161611E-2,-8.681160927E0
2.922788000E-2,4.345366001E0,8.135596663E-2,-8.685946465E0
3.133866100E-2,4.345366001E0,6.699903309E-2,-8.671588898E0
3.344944200E-2,4.350151539E0,7.657032460E-2,-8.695517540E0
3.556022300E-2,4.369294167E0,7.657032460E-2,-8.685946465E0
3.767100500E-2,4.383651257E0,6.221338734E-2,-8.671588898E0
3.978178600E-2,4.374079704E0,4.785645381E-2,-8.681160927E0
4.189256700E-2,4.393222332E0,4.785645381E-2,-8.681160927E0
4.400334800E-2,4.393222332E0,3.828516230E-2,-8.671588898E0
4.611407800E-2,4.402793884E0,3.349951655E-2,-8.657232285E0
4.822491100E-2,4.412364960E0,3.828516230E-2,-8.676374435E0
5.033569200E-2,4.412364960E0,9.571290575E-3,-8.666803360E0
5.244642100E-2,4.402793884E0,1.914258115E-2,-8.652446747E0
5.455725500E-2,4.412364960E0,1.914258115E-2,-8.657232285E0
5.666798400E-2,4.417150497E0,1.435693540E-2,-8.647661209E0
5.877876500E-2,4.417150497E0,4.785645287E-3,-8.642875671E0
6.088954600E-2,4.412364960E0,0.000000000E0,-8.638090134E0
6.300032800E-2,4.393222332E0,-2.392822690E-2,-8.638090134E0
6.511110900E-2,4.383651257E0,-2.392822690E-2,-8.614161491E0
6.722189000E-2,4.378865242E0,-2.392822690E-2,-8.623732567E0
6.933267100E-2,4.374079704E0,-4.307080805E-2,-8.623732567E0
7.144345300E-2,4.354937077E0,-3.828516230E-2,-8.604590416E0
7.355423400E-2,4.350151539E0,-4.307080805E-2,-8.614161491E0
7.566501500E-2,4.350151539E0,-3.828516230E-2,-8.623732567E0
7.777579600E-2,4.331008911E0,-3.828516230E-2,-8.638090134E0
7.988657800E-2,4.316651821E0,-2.392822690E-2,-8.652446747E0
8.199735900E-2,4.311866283E0,-2.392822690E-2,-8.676374435E0
8.410814000E-2,4.292723656E0,4.785645287E-3,-8.671588898E0
8.621892100E-2,4.297509670E0,0.000000000E0,-8.666803360E0
8.832970300E-2,4.287938118E0,4.785645287E-3,-8.709874153E0
9.044048400E-2,4.273581028E0,2.392822690E-2,-8.700303078E0
9.255126500E-2,4.287938118E0,5.742774159E-2,-8.700303078E0
9.466204600E-2,4.268795490E0,4.785645381E-2,-8.714659691E0
9.677282800E-2,4.287938118E0,6.699903309E-2,-8.729017258E0
9.888355700E-2,4.278367043E0,9.092725813E-2,-8.743373871E0
1.009943380E-1,4.283152580E0,9.092725813E-2,-8.748159409E0
1.031051710E-1,4.278367043E0,1.004985496E-1,-8.748159409E0
1.052159010E-1,4.297509670E0,1.100698411E-1,-8.757730484E0
1.073266820E-1,4.283152580E0,1.100698411E-1,-8.767302513E0
1.094374630E-1,4.302295208E0,1.148554832E-1,-8.762516975E0
1.115482440E-1,4.302295208E0,1.196411327E-1,-8.767302513E0
1.136590260E-1,4.307080746E0,1.387837082E-1,-8.743373871E0
1.157698070E-1,4.316651821E0,1.196411327E-1,-8.729017258E0
1.178805880E-1,4.321437836E0,1.196411327E-1,-8.733802795E0
1.199913690E-1,4.321437836E0,1.196411327E-1,-8.690732002E0
1.221021510E-1,4.354937077E0,1.196411327E-1,-8.700303078E0
