"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.825897300E-2,1.374445739E-3,-1.374445739E-3,-2.733619884E-2
2.036975500E-2,1.374445739E-3,-1.374445739E-3,-2.733619884E-2
2.248053600E-2,2.596175298E-3,-9.926552884E-3,-2.855792828E-2
2.459131700E-2,2.596175298E-3,-1.114828233E-2,-2.733619884E-2
2.670209800E-2,3.817904973E-3,-1.114828233E-2,-2.733619884E-2
2.881288000E-2,5.039634649E-3,-1.237001177E-2,-2.611446939E-2
3.092366100E-2,3.817904973E-3,-1.114828233E-2,-2.611446939E-2
3.303444200E-2,2.596175298E-3,-1.114828233E-2,-2.611446939E-2
3.514522300E-2,3.817904973E-3,-1.237001177E-2,-2.611446939E-2
3.725600500E-2,1.527161949E-4,-1.359174121E-2,-2.367101051E-2
3.936678600E-2,1.374445739E-3,-1.603520103E-2,-2.367101051E-2
4.147756700E-2,1.527161949E-4,-1.603520103E-2,-2.122755162E-2
4.358834800E-2,1.527161949E-4,-1.847865991E-2,-2.244928107E-2
4.569907800E-2,1.374445739E-3,-2.580903657E-2,-2.122755162E-2
4.780991100E-2,1.527161949E-4,-2.703076601E-2,-1.756236330E-2
4.992069200E-2,1.527161949E-4,-3.191768378E-2,-1.756236330E-2
5.203142100E-2,-2.290742937E-3,-3.680460155E-2,-1.756236330E-2
5.414225500E-2,-2.290742937E-3,-4.291325063E-2,-1.634063199E-2
5.625298400E-2,-1.069013379E-3,-4.535670951E-2,-1.389717404E-2
5.836376500E-2,-1.069013379E-3,-5.024362728E-2,-1.389717404E-2
6.047454600E-2,-2.290742937E-3,-5.268708616E-2,-1.023198478E-2
6.258532800E-2,-2.290742937E-3,-5.635227636E-2,-1.023198478E-2
6.469610900E-2,-2.290742937E-3,-5.879573524E-2,-7.788525894E-3
6.680689000E-2,-2.290742937E-3,-6.123919412E-2,-5.345067009E-3
6.891767100E-2,-3.512472380E-3,-6.246092543E-2,-4.123337101E-3
7.102845300E-2,-3.512472380E-3,-6.246092543E-2,-1.679878100E-3
7.313923400E-2,-4.734201822E-3,-6.123919412E-2,7.635809598E-4
7.525001500E-2,-5.955931731E-3,-6.123919412E-2,1.985310577E-3
7.736079600E-2,-5.955931731E-3,-5.757400393E-2,4.428769462E-3
7.947157800E-2,-5.955931731E-3,-5.390881747E-2,6.872228812E-3
8.158235900E-2,-7.177661173E-3,-5.146535859E-2,8.093958721E-3
8.369314000E-2,-8.399390616E-3,-4.535670951E-2,1.053741761E-2
8.580392100E-2,-7.177661173E-3,-4.413498193E-2,1.053741761E-2
8.791470300E-2,-5.955931731E-3,-3.558287397E-2,1.298087649E-2
9.002548400E-2,-5.955931731E-3,-2.947422490E-2,1.542433538E-2
9.213626500E-2,-4.734201822E-3,-2.458730713E-2,1.542433538E-2
9.424704600E-2,-2.290742937E-3,-1.847865991E-2,1.664606482E-2
9.635782800E-2,-1.069013379E-3,-9.926552884E-3,1.786779426E-2
9.846855700E-2,-1.069013379E-3,-6.261364091E-3,1.908952370E-2
1.005793380E-1,-1.069013379E-3,1.069013379E-3,2.031125315E-2
1.026901710E-1,2.596175298E-3,5.955931731E-3,2.275471389E-2
1.048009010E-1,1.374445739E-3,1.084284950E-2,2.153298259E-2
1.069116820E-1,1.374445739E-3,1.817322709E-2,2.275471389E-2
1.090224630E-1,3.817904973E-3,2.061668597E-2,2.397644334E-2
1.111332440E-1,3.817904973E-3,2.428187430E-2,2.519817278E-2
1.132440260E-1,1.374445739E-3,2.672533318E-2,2.519817278E-2
1.153548070E-1,2.596175298E-3,3.161225095E-2,2.397644334E-2
1.174655880E-1,2.596175298E-3,3.283398226E-2,2.641990222E-2
1.195763690E-1,1.527161949E-4,3.283398226E-2,2.641990222E-2
1.216871510E-1,1.374445739E-3,3.283398226E-2,2.641990222E-2
1.237979320E-1,1.374445739E-3,3.283398226E-2,2.641990222E-2
1.259087130E-1,1.374445739E-3,3.161225095E-2,2.764163166E-2
1.280194940E-1,1.374445739E-3,2.672533318E-2,2.886336111E-2
1.301302760E-1,-1.069013379E-3,2.306014486E-2,2.886336111E-2
1.322410570E-1,-2.290742937E-3,1.939495653E-2,2.886336111E-2
1.343518380E-1,-3.512472380E-3,1.206457894E-2,3.008509055E-2
1.364626190E-1,-3.512472380E-3,9.621120058E-3,3.008509055E-2
1.385734010E-1,-2.290742937E-3,1.069013379E-3,3.130681813E-2
1.406841820E-1,-4.734201822E-3,-3.817904973E-3,3.130681813E-2
1.427949630E-1,-4.734201822E-3,-8.704823442E-3,3.252854943E-2
1.449057440E-1,-4.734201822E-3,-1.847865991E-2,3.252854943E-2
1.470165260E-1,-4.734201822E-3,-2.458730713E-2,3.375028074E-2
1.491273070E-1,-8.399390616E-3,-2.703076601E-2,3.375028074E-2
1.512380880E-1,-5.955931731E-3,-3.680460155E-2,3.375028074E-2
1.533488690E-1,-8.399390616E-3,-3.924806044E-2,3.497200832E-2
1.554595980E-1,-9.621120058E-3,-4.413498193E-2,3.497200832E-2
1.575703800E-1,-1.084284950E-2,-4.902189970E-2,3.619373962E-2
1.596811610E-1,-1.084284950E-2,-5.146535859E-2,3.863719851E-2
1.617919420E-1,-1.328630932E-2,-5.513054505E-2,3.863719851E-2
