"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.530652600E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.030652600E-2,9.302139282E-3,-1.165984198E-2,3.398895264E-3
4.530652600E-2,1.711606979E-2,-1.738576218E-2,1.145648956E-2
5.030652600E-2,2.175569534E-2,-2.482357621E-2,9.643554688E-3
5.530652600E-2,2.206420898E-2,-2.351333201E-2,1.922798157E-2
6.030652600E-2,1.856374741E-2,-3.535376117E-2,2.695846558E-2
6.530652600E-2,-5.033969879E-3,-4.957162961E-2,3.858280182E-2
7.030652600E-2,-1.929092407E-2,-5.723436177E-2,4.282855988E-2
7.530652600E-2,-3.135633469E-2,-5.153659731E-2,3.150558472E-2
8.030652600E-2,-5.183076859E-2,-3.447362781E-2,-2.975463867E-3
8.530652600E-2,-6.633043289E-2,-4.891684745E-3,-1.422214508E-2
9.030652600E-2,-7.111024857E-2,1.767216250E-2,-4.063606262E-2
9.530652600E-2,-6.687307358E-2,4.549091682E-2,-5.162715912E-2
1.003065260E-1,-6.190824509E-2,7.457192987E-2,-7.292842865E-2
1.053065260E-1,-5.142879486E-2,8.433984220E-2,-7.969951630E-2
1.103065260E-1,-3.706455231E-2,8.853942156E-2,-8.188629150E-2
1.153065260E-1,-2.382087708E-2,9.386892617E-2,-4.987144470E-2
1.203065260E-1,-4.774570465E-3,8.190071583E-2,-1.763153076E-2
1.253065260E-1,1.506662369E-2,7.972511649E-2,-1.671600342E-2
1.303065260E-1,2.506923676E-2,6.786355376E-2,1.472187042E-2
1.353065260E-1,3.663682938E-2,6.245744601E-2,2.490901947E-2
1.403065260E-1,4.347324371E-2,6.545251608E-2,3.254222870E-2
1.453065260E-1,4.749441147E-2,6.688317657E-2,3.432178497E-2
1.503065260E-1,3.442144394E-2,4.625511914E-2,3.490829468E-2
1.553065260E-1,8.211135864E-3,1.877436787E-2,3.205490112E-2
1.603065260E-1,-1.706171036E-2,-8.473780006E-3,1.974201202E-2
1.653065260E-1,-4.635095596E-2,-3.378917277E-2,1.932144165E-2
1.703065260E-1,-6.987524033E-2,-4.143465683E-2,2.663803101E-2
1.753065260E-1,-7.916164398E-2,-3.237359971E-2,2.171611786E-2
1.803065260E-1,-6.621313095E-2,-1.698642597E-2,5.569458008E-4
1.853065260E-1,-6.008625031E-2,4.798881710E-3,-3.112316132E-2
1.903065260E-1,-3.075075150E-2,-5.903631449E-3,-6.015586853E-2
1.953065260E-1,-4.658699036E-3,-1.358931139E-2,-7.820224762E-2
2.003065260E-1,3.583860397E-2,-1.936846226E-2,-7.321166992E-2
2.053065260E-1,6.730747223E-2,-3.449302912E-2,-6.292152405E-2
2.103065260E-1,8.013820648E-2,-3.775951639E-2,-1.342010498E-2
2.153065260E-1,9.340000153E-2,-4.497673362E-2,4.062366486E-2
2.203065260E-1,1.041660309E-1,-5.877931044E-2,5.824470520E-2
2.253065260E-1,1.063065529E-1,-6.899067760E-2,6.551647186E-2
2.303065260E-1,1.230530739E-1,-7.333503664E-2,6.712436676E-2
2.353065260E-1,1.350593567E-1,-5.497096479E-2,3.245258331E-2
2.403065260E-1,1.431980133E-1,-3.964198381E-2,1.617240906E-2
2.453065260E-1,1.505165100E-1,-3.010079637E-2,-2.014255524E-2
2.503065260E-1,1.331963539E-1,-9.700842202E-4,-3.070545197E-2
2.553065260E-1,1.187953949E-1,3.226240166E-3,-3.395080566E-3
2.603065260E-1,9.723186493E-2,-4.614256322E-4,2.479934692E-2
2.653065260E-1,7.265758514E-2,3.494570963E-3,2.345180511E-2
2.703065260E-1,5.065536499E-2,7.299192715E-3,3.067207336E-2
2.753065260E-1,2.470588684E-2,-1.921436982E-3,-5.006790161E-4
2.803065260E-1,6.192684174E-3,-1.194286719E-2,-3.194046021E-2
2.853065260E-1,-6.853103638E-3,7.037660573E-3,-6.404209137E-2
2.903065260E-1,-2.455568314E-2,3.134106100E-2,-5.665206909E-2
2.953065260E-1,-3.195762634E-2,4.134035110E-2,-4.403877258E-2
3.003065260E-1,-5.010652542E-2,5.836692080E-2,-1.983928680E-2
3.053065260E-1,-6.776905060E-2,6.336673349E-2,-9.346008301E-3
3.103065260E-1,-6.428909302E-2,6.248843670E-2,2.176094055E-2
3.153065260E-1,-6.645870209E-2,5.853428692E-2,4.644489288E-2
3.203065260E-1,-6.910657883E-2,5.111129209E-2,4.817199707E-2
3.253065260E-1,-5.667686462E-2,4.201492295E-2,5.278682709E-2
3.303065260E-1,-3.355503082E-2,4.312847182E-2,6.554985046E-2
3.353065260E-1,-9.135723114E-3,5.056965351E-2,6.381797791E-2
3.403065260E-1,1.541042328E-2,5.959607661E-2,2.555942535E-2
3.453065260E-1,3.995466232E-2,6.787310541E-2,3.129959106E-3
3.503065260E-1,6.415987015E-2,5.527562276E-2,-2.278041840E-2
3.553065260E-1,7.607412338E-2,5.190737918E-2,-4.178905487E-2
3.603065260E-1,8.295202255E-2,3.116137534E-2,-4.116630554E-2
3.653065260E-1,8.224153519E-2,1.823254488E-2,-2.963924408E-2
3.703065260E-1,7.911062241E-2,1.953363419E-3,2.289199829E-2
3.753065260E-1,1.016764641E-1,-2.513443120E-2,5.250263214E-2
3.803065260E-1,1.075897217E-1,-4.734914005E-2,7.183456421E-2
3.853065260E-1,1.328091621E-1,-6.723494083E-2,6.425666809E-2
3.903065260E-1,1.277623177E-1,-7.638505101E-2,2.316665649E-2
3.953065260E-1,1.321353912E-1,-7.033163309E-2,-1.027011871E-2
4.003065260E-1,1.233716011E-1,-7.255296409E-2,-4.037952423E-2
4.053065260E-1,1.034555435E-1,-6.177811325E-2,-6.595420837E-2
4.103065260E-1,7.943630219E-2,-5.041538924E-2,-8.176136017E-2
4.153065260E-1,4.568529129E-2,-3.733640537E-2,-7.583713531E-2
4.203065260E-1,2.950668335E-3,-2.517705411E-2,-5.886745453E-2
4.253065260E-1,-2.356815338E-2,-1.939155161E-2,-3.916358948E-2
4.303065260E-1,-2.994823456E-2,-3.068991005E-3,-1.780414581E-2
4.353065260E-1,-3.125286102E-2,2.057496458E-3,-4.398345947E-3
4.403065260E-1,-2.607917786E-2,6.060983986E-3,5.395889282E-3
4.453065260E-1,-2.538728714E-2,1.412638277E-2,-7.152557373E-5
4.503065260E-1,-1.932144165E-2,1.897791773E-2,-2.017021179E-3
4.553065260E-1,-1.522779465E-2,1.718082279E-2,3.176689148E-2
4.603065260E-1,-9.022712708E-3,2.019883692E-2,4.934310913E-2
4.653065260E-1,1.314926147E-2,2.607651055E-2,6.503391266E-2
4.703065260E-1,5.109834671E-2,3.796793520E-2,9.123611450E-2
4.753065260E-1,8.604955673E-2,6.142990291E-2,8.857345581E-2
4.803065260E-1,1.398701668E-1,8.230525255E-2,1.016359329E-1
4.853065260E-1,1.911191940E-1,9.817855060E-2,9.485912323E-2
4.903065260E-1,2.287120819E-1,1.031875014E-1,6.921100616E-2
4.953065260E-1,2.772464752E-1,8.845002949E-2,3.756713867E-2
5.003065260E-1,2.994699478E-1,7.907226682E-2,3.489875793E-2
5.053065260E-1,3.278160095E-1,6.359242648E-2,3.170299530E-2
5.103065260E-1,3.497595787E-1,4.755342007E-2,5.711174011E-2
5.153065260E-1,3.843364716E-1,3.534254432E-2,7.417583466E-2
5.203065260E-1,4.286041260E-1,3.351151571E-2,8.958148956E-2
5.253065260E-1,4.691386223E-1,5.848160386E-2,7.904243469E-2
5.303065260E-1,5.263080597E-1,6.625476480E-2,2.025985718E-2
5.353065260E-1,5.901937485E-1,5.636185408E-2,-3.697490692E-2
5.403065260E-1,6.053333282E-1,5.664288998E-2,-8.114242554E-2
5.453065260E-1,5.807013512E-1,6.943243742E-2,-9.616184235E-2
5.503065260E-1,5.022964478E-1,6.515765935E-2,-9.727096558E-2
5.553065260E-1,4.050259590E-1,8.222983032E-2,-3.078079224E-2
5.603065260E-1,3.326907158E-1,7.365299761E-2,5.180454254E-2
5.653065260E-1,2.616801262E-1,5.277055874E-2,8.776473999E-2
5.703065260E-1,2.222375870E-1,5.747989565E-2,8.310317993E-2
5.753065260E-1,1.935114861E-1,8.205740154E-2,2.356910706E-2
5.803065260E-1,1.484861374E-1,1.091303229E-1,-4.740905762E-2
5.853065260E-1,1.006493568E-1,1.089174598E-1,-1.395454407E-1
5.903065260E-1,6.378507614E-2,8.368869126E-2,-2.370338440E-1
5.953065260E-1,-4.648590088E-2,4.859536514E-2,-1.804742813E-1
6.003065260E-1,-1.624255180E-1,1.129331067E-2,4.330348969E-2
6.053065260E-1,-2.804670334E-1,-1.866538078E-3,2.209548950E-1
6.103065260E-1,-3.598575592E-1,-1.712271199E-2,3.132219315E-1
6.153065260E-1,-3.924732208E-1,-2.347576991E-2,2.969408035E-1
6.203065260E-1,-3.676791191E-1,-3.628703952E-2,1.638402939E-1
6.253065260E-1,-3.434705734E-1,-6.229504943E-2,-4.940032959E-3
6.303065260E-1,-3.186187744E-1,-7.180558890E-2,-1.533222198E-1
6.353065260E-1,-2.983546257E-1,-6.700408459E-2,-2.133893967E-1
6.403065260E-1,-2.958803177E-1,-6.862676144E-2,-1.853103638E-1
6.453065260E-1,-2.938947678E-1,-5.981134251E-2,-1.087770462E-1
6.503065260E-1,-3.155598640E-1,-7.976701111E-2,-1.227664948E-2
6.553065260E-1,-3.181719780E-1,-1.192871556E-1,5.718612671E-2
6.603065260E-1,-2.938489914E-1,-1.635660827E-1,3.005409241E-2
