t (s),U1(V),U2(V)
0.000000,-0.115035,-0.041823
0.001000,-0.120264,-0.047051
0.002000,-0.115035,-0.047051
0.003000,-0.120264,-0.047051
0.004000,-0.115035,-0.047051
0.005000,-0.115035,-0.047051
0.006000,-0.115035,-0.041823
0.007000,-0.115035,-0.047051
0.008000,-0.115035,-0.047051
0.009000,-0.115035,-0.047051
0.010000,-0.120264,-0.047051
0.011000,-0.120264,-0.047051
0.012000,-0.120264,-0.047051
0.013000,-0.115035,-0.047051
0.014000,-0.120264,-0.047051
0.015000,-0.115035,-0.047051
0.016000,-0.115035,-0.047051
0.017000,-0.120264,-0.047051
0.018000,-0.115035,-0.041823
0.019000,-0.120264,-0.047051
0.020000,-0.120264,-0.047051
0.021000,-0.120264,-0.047051
0.022000,-0.120264,-0.047051
0.023000,-0.120264,-0.047051
0.024000,-0.115035,-0.047051
0.025000,-0.120264,-0.047051
0.026000,-0.115035,-0.047051
0.027000,-0.115035,-0.041823
0.028000,-0.115035,-0.047051
0.029000,-0.120264,-0.047051
0.030000,-0.120264,-0.047051
0.031000,-0.120264,-0.047051
0.032000,-0.120264,-0.047051
0.033000,-0.120264,-0.041823
0.034000,-0.120264,-0.047051
0.035000,-0.120264,-0.047051
0.036000,-0.120264,-0.047051
0.037000,-0.120264,-0.047051
0.038000,-0.120264,-0.047051
0.039000,-0.120264,-0.047051
0.040000,-0.120264,-0.047051
0.041000,-0.120264,-0.047051
0.042000,-0.120264,-0.047051
0.043000,-0.120264,-0.047051
0.044000,-0.120264,-0.047051
0.045000,-0.120264,-0.047051
0.046000,-0.120264,-0.047051
0.047000,-0.120264,-0.047051
0.048000,-0.120264,-0.047051
0.049000,-0.120264,-0.047051
0.050000,-0.120264,-0.041823
0.051000,-0.120264,-0.047051
0.052000,-0.120264,-0.041823
0.053000,-0.125493,-0.041823
0.054000,-0.125493,-0.047051
0.055000,-0.125493,-0.047051
0.056000,-0.120264,-0.047051
0.057000,-0.120264,-0.047051
0.058000,-0.125493,-0.047051
0.059000,-0.120264,-0.047051
0.060000,-0.120264,-0.047051
0.061000,-0.120264,-0.047051
0.062000,-0.120264,-0.047051
0.063000,-0.125493,-0.047051
0.064000,-0.120264,-0.047051
0.065000,-0.120264,-0.047051
0.066000,-0.120264,-0.047051
0.067000,-0.120264,-0.047051
0.068000,-0.120264,-0.047051
0.069000,-0.120264,-0.047051
0.070000,-0.125493,-0.047051
0.071000,-0.120264,-0.047051
0.072000,-0.120264,-0.047051
0.073000,-0.120264,-0.047051
0.074000,-0.120264,-0.047051
0.075000,-0.120264,-0.047051
0.076000,-0.120264,-0.047051
0.077000,-0.120264,-0.047051
0.078000,-0.125493,-0.047051
0.079000,-0.120264,-0.047051
0.080000,-0.125493,-0.047051
0.081000,-0.120264,-0.047051
0.082000,-0.120264,-0.047051
0.083000,-0.125493,-0.047051
0.084000,-0.125493,-0.047051
0.085000,-0.120264,-0.041823
0.086000,-0.125493,-0.047051
0.087000,-0.125493,-0.047051
0.088000,-0.120264,-0.047051
0.089000,-0.125493,-0.047051
0.090000,-0.120264,-0.047051
0.091000,-0.125493,-0.047051
0.092000,-0.125493,-0.041823
0.093000,-0.125493,-0.047051
0.094000,-0.125493,-0.047051
0.095000,-0.120264,-0.047051
0.096000,-0.125493,-0.047051
0.097000,-0.125493,-0.047051
0.098000,-0.125493,-0.047051
0.099000,-0.125493,-0.047051
0.100000,-0.125493,-0.047051
0.101000,-0.125493,-0.047051
0.102000,-0.125493,-0.047051
0.103000,-0.125493,-0.047051
0.104000,-0.125493,-0.047051
0.105000,-0.125493,-0.047051
0.106000,-0.125493,-0.047051
0.107000,-0.120264,-0.047051
0.108000,-0.125493,-0.047051
0.109000,-0.125493,-0.041823
0.110000,-0.120264,-0.047051
0.111000,-0.125493,-0.047051
0.112000,-0.120264,-0.047051
0.113000,-0.125493,-0.047051
0.114000,-0.120264,-0.041823
0.115000,-0.125493,-0.047051
0.116000,-0.125493,-0.047051
0.117000,-0.125493,-0.047051
0.118000,-0.125493,-0.047051
